Source,mois,espece,espece,Genre,age,sexe,en_allaitement,enceinte,condition,poids_kg,circumference_cou,longueur_cm,provenance,strategie,jour_nuit,Dest_jeter,Dest_conso,Dest_vente,Dest_paim,Dest_don,kg_jeter,kg_conso,kg_vente,kg_paim,kg_don,condition_vente,prix_vente_fc,prix_vente_kg,village,ID_sortie,unique_hunter_ID
Q4,8,paon_congolais,paon_congolais,bird,adulte,femelle,non,non,frais,1.4,5,30,foret_primaire,pieges,jour,0,1,0,0,0,0,1.4,0,0,0,,,,3,122,3_12
Q4,7,cephalophe_bleu,cephalophe_bleu,ungulate_small,jeune,male,,,frais,2,15,26,foret_primaire,arc&fleches,nuit,0,1,0,0,0,0,2,0,0,0,,,,5,123,5_2
Q4,7,cephalophe_bleu,cephalophe_bleu,ungulate_small,jeune,male,,,frais,2.5,19.5,32,foret_primaire,arc&fleches,nuit,0,1,0,0,0,0,2.5,0,0,0,,,,5,124,5_5
Q4,7,rat_de_gambie,rat_de_gambie,rodent,adulte,male,,,frais,1,12,20,foret_primaire,arc&fleches,nuit,0,1,0,0,0,0,1,0,0,0,,,,5,125,5_3
Q4,7,rat_de_gambie,rat_de_gambie,rodent,adulte,male,,,frais,1,12,20,foret_primaire,arc&fleches,nuit,0,1,0,0,0,0,1,0,0,0,,,,5,126,5_5
Q4,9,cephalophe_bleu,cephalophe_bleu,ungulate_small,jeune,femelle,non,non,frais,6,17,38,foret_primaire,arc&fleches,nuit,0,0,1,0,0,0,0,6,0,0,morceaux,4500,750,3,127,3_21
Q4,9,cephalophe_de_weyns,cephalophe_de_weyns,ungulate_medium,adulte,male,,,frais,22,37,60,foret_primaire,fusil,nuit,0,0,1,0,0,0,0,22,0,0,entiere,24000,1090.909091,3,127,3_21
Q4,9,potto,potto,primates,jeune,male,,,frais,4,15,19,foret_primaire,machette,nuit,0,1,0,0,0,0,4,0,0,0,,,,3,127,3_21
Q4,9,potto,potto,primates,jeune,male,,,frais,3,14,21,foret_primaire,arc&fleches,nuit,0,0,1,0,0,0,0,3,0,0,entiere,2000,666.6666667,3,128,3_22
Q4,9,cephalophe_dos_jaune,cephalophe_dos_jaune,ungulate_large,adulte,male,,,frais,56,48,78,foret_primaire,autres,jour,0,0,0,1,0,0,0,0,56,0,,,,3,129,3_0
Q4,7,potamochere,potamochere,hogs,adulte,male,,,frais,68,NA,NA,jacheres,pieges,jour,0,0.25,0.75,0,0,0,17,51,0,0,3_quarts,45000,882.3529412,5,13,5_4
Q4,9,cephalophe_bleu,cephalophe_bleu,ungulate_small,adulte,male,,,frais,5.6,16,31.5,foret_primaire,arc&fleches,jour,0,0.25,0.75,0,0,0,1.4,4.2,0,0,morceaux,4000,952.3809524,3,130,3_18
Q4,9,cephalophe_bleu,cephalophe_bleu,ungulate_small,adulte,femelle,non,non,frais,3.6,12.5,30,foret_primaire,arc&fleches,jour,0,0.25,0.75,0,0,0,0.9,2.7,0,0,morceaux,4000,1481.481481,3,130,3_18
Q4,9,ecureil_inconnu,ecureil_inconnu,rodent,jeune,femelle,non,non,frais,0.45,11,15,foret_primaire,pieges,jour,0,1,0,0,0,0,0.45,0,0,0,,,,3,132,3_17
Q4,9,oiseau_inconnu,autre,bird,adulte,femelle,non,non,frais,0.6,5.5,12,foret_primaire,pieges,jour,0,1,0,0,0,0,0.6,0,0,0,,,,3,133,3_17
Q4,9,cephalophe_bleu,cephalophe_bleu,ungulate_small,adulte,femelle,non,non,frais,4.2,19,35,marecages,arc&fleches,nuit,0,1,0,0,0,0,4.2,0,0,0,,,,1,134,1_2
Q4,9,cephalophe_bleu,cephalophe_bleu,ungulate_small,jeune,femelle,non,non,frais,2,14,30,foret_primaire,arc&fleches,nuit,0,0.5,0.5,0,0,0,1,1,0,0,moities,2000,2000,3,135,3_8
Q4,9,atherure,atherure,rodent,adulte,male,,,frais,2.8,21,30,savane,pieges,jour,0,0.5,0.5,0,0,0,1.4,1.4,0,0,quarts,2500,1785.714286,3,136,3_19
Q4,9,cephalophe_bleu,cephalophe_bleu,ungulate_small,adulte,femelle,non,non,frais,4,17,36,savane,pieges,jour,0,0.25,0.5,0.25,0,0,1,2,1,0,morceaux,3000,1500,3,137,3_18
Q4,9,cephalophe_bleu,cephalophe_bleu,ungulate_small,jeune,inconnu,,,pourri,2.5,16,26,savane,pieges,jour,0,0.25,0.75,0,0,0,0.625,1.875,0,0,morceaux,2500,1333.333333,3,137,3_18
Q4,9,atherure,atherure,rodent,adulte,femelle,non,non,frais,4,23,32,savane,pieges,jour,0,0.25,0.75,0,0,0,1,3,0,0,morceaux,5000,1666.666667,3,137,3_18
