"","village","temps_au_village","ethnie","niveau_etudes","activite_1","activite_2","activite_3","temps_chasseur","especes_chassees","chasse_fusil","temps_strategie_fusil","type_chasse_fusil","chasse_arcfleches","temps_strategie_arcfleches","type_chasse_arcfleches","chasse_machette","temps_strategie_machette","efficacite_strategie_machette","nombre_personnes_machette","temps_strategie_pieges","type_chasse_pieges","chasse_chiens","temps_strategie_chiens","type_chasse_chiens","Age"
"68",5,38,"nkundu","aucune","chasse","peche","agriculture",15,"petitsmoyensongules_grandsongules_singes_rongeurs_sangliers_pangolins","oui","journuit","individuelle","oui","nuit","individuelle","non","","",NA,"journuit","individuelle","non","","",38
"69",5,49,"nkundu","aucune","chasse","agriculture","peche",30,"petitsmoyensongules_grandsongules_sangliers_singes_pangolins_rongeurs_reptiles","oui","jour","individuelle","oui","jour","individuelle","non","","",NA,"jour","individuelle","non","","",49
"70",5,61,"nkundu","aucune","chasse","peche","agriculture",43,"petitsmoyensongules_grandsongules_sangliers_singes_pangolins_rongeurs","oui","jour","individuelle","oui","jour","individuelle","non","","",NA,"jour","individuelle","non","","",61
"71",5,35,"nkundu","secondaire","chasse","peche","agriculture",18,"petitsmoyensongules_grandsongules_sangliers_singes_pangolins_rongeurs","oui","journuit","individuelle_collective","oui","journuit","individuelle","non","","",NA,"jour","individuelle","non","","",35
"72",3,NA,"nkundu","secondaire","chasse","peche","agriculture",12,"petitsmoyensongules_grandsongules_sangliers_singes","non","","","oui","nuit","collective","non","","",NA,"jour","individuelle","oui","jour","individuelle",23
"73",3,NA,"nkundu","secondaire","chasse","peche","agriculture",6,"petitsmoyensongules_grandsongules_rongeurs_sangliers_singes_pangolins","non","","","oui","journuit","individuelle","oui","journuit","50%",NA,"jour","individuelle","non","","",23
"74",3,50,"nkundu","primaire","chasse","agriculture","agriculture",20,"petitsmoyensongules","oui","journuit","individuelle","oui","journuit","individuelle","non","","",NA,"jour","individuelle","non","","",50
"75",3,2,"nkundu","secondaire","autre","chasse","peche",35,"petitsmoyensongules_grandsongules_sangliers_singes_pangolins_rongeurs_reptiles","oui","journuit","individuelle","oui","journuit","individuelle","oui","journuit","50%",NA,"","","non","","",23
"76",3,51,"nkundu","secondaire","chasse","peche","agriculture",20,"petitsmoyensongules_grandsongules_sangliers_singes_pangolins_rongeurs_reptiles","oui","journuit","individuelle","non","","","oui","journuit",">50%",NA,"","","non","","",51
"77",3,39,"nkundu","aucune","chasse","peche","agriculture",13,"petitsmoyensongules_grandsongules","oui","nuit","individuelle","oui","nuit","individuelle","oui","nuit","50%",NA,"","","non","","",39
"78",3,50,"nkundu","primaire","chasse","peche","agriculture",30,"petitsmoyensongules_grandsongules_pangolins_rongeurs","non","","","non","","","oui","jour","50%",NA,"jour","individuelle","non","","",50
"79",3,5,"nkundu","primaire","chasse","peche","autre",2,"petitsmoyensongules","non","","","oui","journuit","individuelle","non","","",NA,"jour","individuelle","non","","",28
"80",5,20,"nkundu","aucune","chasse","peche","autre",13,"petitsmoyensongules_grandsongules_sangliers_pangolins_rongeurs","non","","","oui","nuit","individuelle","non","","",NA,"jour","individuelle","non","","",20
"81",1,46,"nkundu","aucune","chasse","peche","agriculture",12,"rongeurs_petitsmoyensongules_grandsongules","oui","jour","individuelle","oui","jour","individuelle","non","","",NA,"jour","individuelle","non","","",26
"82",1,28,"nkundu","secondaire","chasse","peche","agriculture",13,"petitsmoyensongules_grandsongules_sangliers_singes_pangolins_rongeurs","non","","","oui","nuit","individuelle","non","","",NA,"jour","individuelle","non","","",28
"83",3,2,"nkundu","secondaire","chasse","peche","agriculture",8,"petitsmoyensongules_grandsongules_sangliers_rongeurs_oiseaux","non","","","non","","","oui","jour",">50%",1,"jour","collective","non","","",23
